deploymentLocationID,longitude,latitude,Organization
Asoprola,-83.00739,9.00615,Altamira de Biolley
Finca Colombianos,-83.0056,9.011675,Altamira de Biolley
Finca El Campo,-83.04358,9.00378,Altamira de Biolley
Finca Elio,-83.003127,9.009282,Altamira de Biolley
Finca Francis,-82.995936,9.005507,Altamira de Biolley
Finca Hamacas,-82.98604,8.98712,Altamira de Biolley
Finca Marylin,-83.006073,9.011089,Altamira de Biolley
Finca Randall,-83.02095,9.01204,Altamira de Biolley
Finca Selmira,-83.05094,8.98301,Altamira de Biolley
Finca Wilberth,-82.99505,9.01346,Altamira de Biolley
Sansi,-83.037332,8.99436,Altamira de Biolley
Aprocome,-83.4607,9.27761,Altamira de Volcán
Finca La Fila,-83.4437,9.28332,Altamira de Volcán
Finca Tepezcuintle,-83.45758,9.28154,Altamira de Volcán
Piedra Tepezcuintle,-83.45965,9.28058,Altamira de Volcán
Sendero Linda vista,-83.44709,9.28342,Altamira de Volcán
Finca Kattya,-83.03586,9.05415,Biolley
Finca María Isabel,-83.03859,9.03844,Biolley
Finca Monterromo,-83.05788,9.01964,Biolley
Finca Serracín,-83.03435,9.06281,Biolley
Finca Vera,-83.05109,9.02317,Biolley
La Reserva Asomobi,-83.03903,9.03161,Biolley
Sendero Asomobi,-83.042,9.03496,Biolley
Cabagra Huacas Edmundo,-83.14438,9.12042,Cabagra
Cerro Pelón,-83.22692,9.17226,Cabagra
Finca Chano,-83.198812,9.141179,Cabagra
Finca Juan Lázaro,-83.2019,9.13682,Cabagra
Sendero Mayor,-83.19239,9.12976,Cabagra
Sendero Otilia,-83.199683,9.138873,Cabagra
Canforro Finca Bill Foster,-83.57954336,9.37272033,CB Alexander Skutch
Cusingos,-83.62861,9.33875,CB Alexander Skutch
Finca Elizabeth,-83.61032,9.33135,CB Alexander Skutch
Finca Felipe Montoya,-83.61355,9.35432,CB Alexander Skutch
Finca Fernando Brenes,-83.59128222,9.36739868,CB Alexander Skutch
Finca Fernando Ureña,-83.61583,9.33124,CB Alexander Skutch
Finca Los Chinchillas,-83.60476,9.37704,CB Alexander Skutch
Finca Playa Verde,-83.61787,9.35067,CB Alexander Skutch
Las Nubes,-83.59969,9.38798,CB Alexander Skutch
Montecarlo Juan José,-83.61179,9.35569,CB Alexander Skutch
Quizarrá Terrazas del Río,-83.61911,9.34854,CB Alexander Skutch
Quizarrá Ureña,-83.62438,9.33722,CB Alexander Skutch
Finca Bajo Los Lezcano,-83.22711,8.940857,CB Fila Langusiana
Finca Chánguena,-83.2077,8.914,CB Fila Langusiana
Finca Fernández,-83.192425,8.933272,CB Fila Langusiana
Finca Jeremy Chánguena,-83.190278,8.934343,CB Fila Langusiana
Finca La Bonita,-83.19172,8.91472,CB Fila Langusiana
Finca Las Cruces,-83.14367144,8.89461284,CB Fila Langusiana
Finca Las Nubes,-83.16407423,8.91486126,CB Fila Langusiana
Finca Pilón Barahona,-83.17091,8.90754,CB Fila Langusiana
Finca Pilón Sergio Hidalgo,-83.180503,8.907367,CB Fila Langusiana
Santa Lucía,-83.219003,8.895459,CB Fila Langusiana
Calle Mirador,-83.38925,9.26761,CB Río Cañas
Cerro Cabecar,-83.370804,9.330951,CB Río Cañas
Finca Evelyn,-83.370064,9.259961,CB Río Cañas
Finca Alex Zúñiga,-83.37112,9.30898,CB Río Cañas
Finca Altamirano,-83.39131,9.26381,CB Río Cañas
Finca Barrantes,-83.384744,9.253864,CB Río Cañas
Finca Canadiense,-83.37958,9.25374,CB Río Cañas
Finca Eduardo Zúñiga St. María,-83.37148,9.29141,CB Río Cañas
Finca Efraín San Rafael,-83.19172,8.91472,CB Río Cañas
Finca El Aguacate,-83.374821,9.320199,CB Río Cañas
Finca Everardo Romero,-83.3715,9.32896,CB Río Cañas
Finca Kenneth Chaves,-83.37738,9.22863,CB Río Cañas
Finca Los Chaves,-83.360603,9.23293,CB Río Cañas
Finca Los Martínez,-83.39608,9.30431,CB Río Cañas
Finca Marco Jiménez,-83.37646,9.23959,CB Río Cañas
Finca Naranjal,-83.38837,9.26351,CB Río Cañas
Finca Nidia,-83.378643,9.252249,CB Río Cañas
Finca Romero,-83.37061,9.31897,CB Río Cañas
Finca Segura,-83.39158,9.24589,CB Río Cañas
Peje,-83.447816,9.162242,CB Río Cañas
Amigos del Bosque,-83.71708,9.54865,El Jardín Siberia
Finca Don José Sendero La cueva,-83.73209,9.52869,El Jardín Siberia
Finca Don Paco,-83.69376,9.50302,El Jardín Siberia
Finca San Martín,-83.68894,9.54028,El Jardín Siberia
Sendero Eladio,-83.71666,9.54616,El Jardín Siberia
Sendero Las Monjas,-83.70113,9.53584,El Jardín Siberia
Sendero Las Orquídeas,-83.72591,9.54828,El Jardín Siberia
Sendero Los Loritos,-83.72526,9.54163,El Jardín Siberia
Cascada Espavel,-83.11526,9.07872,La Luchita
Finca Bethy,-83.117339,9.095082,La Luchita
Finca Carlos Rojas,-83.11463,9.09209,La Luchita
Finca HG,-83.11961,9.07634,La Luchita
Finca Lázaro-Araya,-83.120759,9.080596,La Luchita
Finca Reyes,-83.1146857,9.0916916,La Luchita
Finca Xinia,-83.1136078,9.0938602,La Luchita
Rancho Amu,-83.1111,9.103341,La Luchita
Sendero Catarata,-83.115286,9.079654,La Luchita
Sendero Luz,-83.12138,9.08146,La Luchita
Sendero Toma Agua,-83.10855,9.099872,La Luchita
Finca Bee FC,-82.7911,8.89201,Las Tablas Guardianes del Bosque
Finca El Pizote,-82.80985,8.9038,Las Tablas Guardianes del Bosque
Finca Fallas,-82.82186,8.8979,Las Tablas Guardianes del Bosque
Las Tablas Medio,-82.74441,8.95531,Las Tablas Guardianes del Bosque
Las Tablas Toma Acueducto,-82.75059,8.94479,Las Tablas Guardianes del Bosque
Sendero Soto,-82.787192,8.890244,Las Tablas Guardianes del Bosque
