scientificName,vernacularName,individualCount,stateProvince,locality,decimalLongitude,decimalLatitude,eventDate,eventTime,year,month,collectionCode,locationID,location
Chamaepetes unicolor,,1,San José,San Gerardo Rivas,-83.6,9.46346,1993/12/09,,"1993","12",eBird,"9", Camino San Gerardo Los Ángeles
Ortalis cinereiceps,,1,San José,San Gerardo Rivas,-83.6,9.46346,1996/07/22,,"1996","7",eBird,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,1,San José,San Gerardo Rivas,-83.6,9.46346,1996/07/22,,"1996","7",eBird,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,2,San José,CR-San José—Cerro de la Muerte - Savegre Eco Lodge,-83.8419,9.43034,2000/03/06,,"2000","3",eBird,"1", Finca Esteban Cordero
Myadestes melanops,,2,San José,CR-San José—Cerro de la Muerte - Savegre Eco Lodge,-83.8419,9.43034,2000/03/06,,"2000","3",eBird,"1", Finca Esteban Cordero
Pharomachrus mocinno,,1,San José,CR-San José—Cerro de la Muerte - Savegre Eco Lodge,-83.8419,9.43034,2000/03/06,,"2000","3",eBird,"1", Finca Esteban Cordero
Trogon collaris,,1,San José,San Gerardo Rivas,-83.6,9.46346,2002/09/30,,"2002","9",eBird,"9", Camino San Gerardo Los Ángeles
Pharomachrus mocinno,,1,San José,Hotel Georgina,-83.7008,9.49832,2003/02/03,,"2003","2",eBird,"6", Finca Cosme Gamboa
Chamaepetes unicolor,,1,San José,San Gerardo Rivas,-83.6,9.46346,2003/03/20,,"2003","3",eBird,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,1,San José,San Gerardo Rivas,-83.6,9.46346,2003/03/20,,"2003","3",eBird,"9", Camino San Gerardo Los Ángeles
Pharomachrus mocinno,,1,San José,Sevegre at San Gerardo de Dota,-83.599,9.46489,2004/01/01,,"2004","1",eBird,"9", Camino San Gerardo Los Ángeles
Chamaepetes unicolor,,1,San José,Sevegre at San Gerardo de Dota,-83.599,9.46489,2004/01/01,,"2004","1",eBird,"9", Camino San Gerardo Los Ángeles
Chamaepetes unicolor,,1,San José,San Gerardo de Rivas,-83.6007,9.46472,2004/02/08,,"2004","2",eBird,"9", Camino San Gerardo Los Ángeles
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2006/12/25,,"2006","12",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2007/11/29,,"2007","11",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2007/11/29,,"2007","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2008/01/10,,"2008","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,3,San José,San Gerardo de Rivas,-83.5981,9.4645,2008/01/11,,"2008","1",eBird,"9", Camino San Gerardo Los Ángeles
Chamaepetes unicolor,,1,San José,San Gerardo de Rivas,-83.5981,9.4645,2008/01/12,,"2008","1",eBird,"9", Camino San Gerardo Los Ángeles
