occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-09-05T08:36:21.488882,Human Observation,Dasyprocta punctata,1599311220000,Mammalia,-83.845292,"Cherenga, guatusa",SA-01 Savegre Abajo,Chordata,Animalia,EPSG:4326,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.431213,2020-09-05T08:36:20.680507,species,Rodentia,1
2020-09-05T09:06:25.671792,Human Observation,Ortalis cinereiceps,1599318300000,Aves,-83.84319,"Pajuila, chachalaca cabecigrís",Savegre Abajo,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.431865,0,species,Galliformes,5
2020-10-10T17:52:05.804285,Human Observation,Cebus imitator,1602373920000,Mammalia,-82.976663,Mono cara blanca,Finca Campos Pittier ,Chordata,Animalia,EPSG:4326,"Thomas, 1903",son comunes en el sitio ,Cebidae,CR,Cebus,000013,imitator,8.910447,0,species,Primates,4
2020-09-23T12:02:25.426780,Human Observation,Trogon caligatus,1600883880000,Aves,-83.40005,Trogón cabecimorado,RC-02 Santa Rosa,Chordata,Animalia,,,fue visto en el cendero el mirador RC-02 santa Rosa,Trogonidae,CR,Trogon,000020,caligatus,9.257895,2020-09-23T12:02:24.997920,species,Trogoniformes,1
2020-09-23T13:23:50.736884,Human Observation,Leopardus pardalis,1600888800000,Mammalia,-83.40005,"Ocelote, manigordo",RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"(Linnaeus, 1758)",visto finca los Martínez,Felidae,CR,Leopardus,000003,pardalis,9.257895,2020-09-23T13:23:50.215420,species,Carnivora,1
2020-09-23T13:23:50.967364,Human Observation,Mazama temama,1600888800000,Mammalia,-83.40005,Cabro de monte,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"(Kerr, 1792)",visto finca los Martínez,Cervidae,CR,Mazama,000008,temama,9.257895,2020-09-23T13:23:50.215420,species,Artiodactyla,1
2020-10-03T14:14:13.394778,Human Observation,Leopardus tigrinus,1601748600000,Mammalia,-83.386852,"Oncilla, caucel",RC-01 Guadalajara,Chordata,Animalia,,"(Schreber, 1775)",finca Efrain zanchez,Felidae,CR,Leopardus,000005,tigrinus,9.240598,2020-10-03T14:14:12.969476,species,Carnivora,1
2020-10-09T10:44:59.660069,Human Observation,Mazama temama,1602261660000,Mammalia,-83.40005,Cabro de monte,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"(Kerr, 1792)",zona alta finca Martínez romero,Cervidae,CR,Mazama,000008,temama,9.257895,2020-10-09T10:44:54.097152,species,Artiodactyla,1
2020-10-09T10:45:00.920423,Human Observation,Mazama temama,1602261660000,Mammalia,-83.40005,Cabro de monte,RC-02 Santa Rosa,Chordata,Animalia,,"(Kerr, 1792)",zona alta finca Martínez romero,Cervidae,CR,Mazama,000008,temama,9.257895,2020-10-09T10:44:56.912284,species,Artiodactyla,1
2020-10-09T10:45:03.405968,Human Observation,Trogon collaris,1602261660000,Aves,-83.40005,Trogón collarejo,RC-02 Santa Rosa,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",zona alta finca Martínez romero.,Trogonidae,CR,Trogon,000022,collaris,9.257895,2020-10-09T10:44:54.097152,species,Trogoniformes,1
